,English,Hindi
1446,polyploids impressing,पॉलीप्लोइड्स पटाने
1447,microphone,माइक्रोफ़ोन
1448,dismissive,खारिज
1449,grapefruit,अंगूर
1450,subverting counteries staunchest,को नष्ट देशों कट्टर
1451,overlooked ornamented,अनदेखी अलंकृत
1452,remissions,माफी
1453,streetside,सड़कों पर
1454,redrafting processins,पुनः प्रारूपण प्रक्रियाएँ
1455,abdication,त्याग
1456,housewives attractive,गृहिणियां आकर्षक
1457,honorarium,मानदेय
1458,ganghasnan salihundam,गंगहस्नान सलिहुंडम
1459,proscribed gymnasiums,गैरकानूनी करार दिए जिमखाने
1460,futuristic prosecutor,फ्यूचरिस्टिक अभियोक्ता
1461,subverting,को नष्ट
1462,indulgence reasonably,आसक्ति यथोचित
1463,madhyadesh,मध्यदेश
1464,splittists construted,विभाजनवादी निर्मित
1465,recordings gottschalk,रिकॉर्डिंग गॉट्सचॉक
1466,orgination varshakala,उत्पत्ति वर्षाकाल
1467,stonemason,राज
1468,concussion,हिलाना
1469,descendant,वंशज
1470,mindedness introduces researched,उदारता द्वारा प्रस्तुत शोध
1471,youngsters administer dreamworld,युवाओं प्रशासन सपनों की दुनियां
1472,kripananda,कृपानंद
1473,regigtered superpower,पंजीकृत महाशक्ति
1474,mournfully,अफसोस जताते हुए
1475,germinated dwarkapuri,अंकुरित द्वारकापुरी
1476,conscience autoriksha,अंतरात्मा की आवाज ऑटोरिक्शा
1477,prospering,विकसित हो
1478,polyploids aakashdeep franchisee,पॉलीप्लोइड्स आकाशदीप फ्रेंचाइजी
1479,stabilized,स्थिर
1480,summarizes panacganga,को सारांशित पनाकांगा
1481,leaderless stagnating comparable,नेतृत्वविहीन रुकी तुलनीय
1482,revivalist,पुनरुत्थानवादी
1483,shahjahani,शाहजहानी
1484,laundering plagiarism,काले धन को वैध साहित्यिक चोरी
1485,prototypes,प्रोटोटाइप
1486,persecutor dependable infinitely,सतानेवाला भरोसे का असीम
1487,ridiculing,खिल्ली उड़ा
1488,railwaymen lohkadiyan,रेलकर्मियों लोहकड़ियां
1489,pustimarga,पुष्टिमार्ग
1490,parabrahma admiration,परब्रह्म प्रशंसा
1491,supportand preferably,समर्थनऔर अधिमानतः
1492,researched,शोध
1493,motorcycle,मोटरसाइकिल
1494,viewership,दर्शकों की संख्या
1495,forcefully kavitaolly colourless,जोर जबरदसती कविताओली रंगहीन
1496,privileges renewables dismissals,विशेषाधिकार नवीकरणीय ऊर्जा शिकार
1497,autoriksha,ऑटोरिक्शा
1498,injuctions chittagong premachand,रोक चटगांव प्रेमचंद
1499,diligently alteration,लगन से परिवर्तन
1500,crossovers prosperity,क्रॉसओवर समृद्धि
1501,germinated annoyances berhampore,अंकुरित खीज बरहामपुर
1502,harischand,हरिश्चंद्र
1503,ballimaran kruragraha,बल्लीमारान क्रुरग्रह
1504,torpedoing gravitated reshuffles,टारपीडोइंग आकर्षित फेरबदल
1505,systemsthe,सिस्टम
1506,vegetarian trivandrum,शाकाहारी तिरुवनंतपुरम
1507,jogeshwari,जोगेश्वरी
1508,jambukhand muvarkovil,जंबुखंड मुवरकोविल
1509,hawanaiema,हवानाइमा
1510,eloquently assumption liquidated,अर्थपूर्ण मान्यता नष्ट
1511,inflexions,विभक्तियाँ
1512,kinematics,गतिकी
1513,delegating,सौंपना
1514,digression confounded mahamaarat,विषयांतर चकित महामारत
1515,lengthiest,सबसे लंबा
1516,sympathise,सहानुभूति रखते हे
1517,belittling nitandhara,महत्व कम करना नितंधरा
1518,jayasankar,जयशंकर
1519,orphanages,अनाथालयों
1520,homologous,मुताबिक़
1521,conferring,उपाधि प्रदान की
1522,creatively inadequacy,रचनात्मक अनुविता
1523,burdensome,बोझल
1524,fresheners milligrams alteration,फ़्रेशनर्स मिलीग्राम परिवर्तन
1525,cartoonist dissection,कार्टूनिस्ट विच्छेदन
1526,dantidurga accidental,डेनटिदुर्गा आकस्मिक
1527,ethnically,जातीय
1528,approaches mahavaraha,दृष्टिकोण महावराह
1529,ultimatety,परमता
1530,relentless,दयाहीन
1531,vaampanthi,वामपंथी
1532,ramashrayi vidyasagar polychords,रामाश्रयी विद्यासागर पॉलीकोर्ड्स
1533,categorize,श्रेणीबद्ध करना
1534,kapishtala ascendants,कपिष्टला आरोही
1535,execration partabgarh,फटकार पार्टाबगढ़
1536,raguvanshi,रघुवंशी
1537,egocentric nepalensis dislocates,अहंकारपूर्ण नेपालेंसिस विघटित हो जाता है
1538,impression,प्रभाव
1539,aesthetics,सौंदर्यशास्र
1540,pratimaaon somersault,प्रतिमाओं कलाबाज़ी
1541,jnanamruth melodramas,ज्ञानामृत नाटक
